"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"66",9,"DB-Z60","CNB",40,2015-09-01,"9:01",0,2015-07-03,"GGNY",231,60
"67",9,"RD-U91","PRPN",19,2015-08-11,"9:22",7,2015-06-29,"EEME",231,43
"68",9,"DB-T59","PHH",31,2015-08-23,"9:42",0,2015-06-26,"GGNY",231,58
"69",9,"DB-S36","CNB",27,2015-08-19,"9:37",0,2015-06-27,"GGNY",231,53
"70",9,"DB-Y27","ENM",21,2015-08-13,"9:33",1,2015-06-20,"GGNY",231,54
"71",9,"DB-L88","PHH",14,2015-08-06,"9:17",0,2015-06-22,"GGNY",231,45
"72",9,"DB-P94","CNB",32,2015-08-24,"9:57",0,2015-06-26,"GGNY",231,59
"73",9,"YL-E04","CNB",32,2015-08-24,"9:57",0,2015-06-29,"SYNH",231,56
"74",9,"DB-L96","THM",12,2015-08-04,"9:35",6,2015-06-22,"GGNY",231,43
"75",9,"DB-R20","PRPN",19,2015-08-11,"9:48",0,2015-06-24,"GGNY",231,48
"76",9,"DB-T25","PHH",42,2015-09-03,"9:12",0,2015-06-27,"GGNY",231,68
"77",9,"DB-L24","CNB",9,2015-08-01,"9:37",2,2015-06-20,"GGNY",231,42
"78",9,"DB-L24","CNB",23,2015-08-15,"9:54",0,2015-06-20,"GGNY",231,56
"79",9,"RD-W30","CNB",48,2015-09-09,"9:43",1,2015-06-19,"SNME",231,82
"80",9,"RD-L28","ENM",21,2015-08-13,"9:46",0,2015-07-10,"TBNS",231,34
"81",9,"DB-Y25","CNB",23,2015-08-15,"9:17",0,2015-06-20,"GGNY",231,56
"82",9,"DB-L34","PRPN",19,2015-08-11,"9:15",3,2015-06-19,"GGNY",231,53
"83",9,"DB-R56","CNB",40,2015-09-01,"9:05",0,2015-06-25,"GGNY",231,68
"84",9,"DB-P25","PHH",31,2015-08-23,"9:38",0,2015-06-26,"GGNY",231,58
"85",9,"DB-L88","PHH",31,2015-08-23,"9:31",0,2015-06-22,"GGNY",231,62
"86",9,"RD-S85","CNB",23,2015-08-15,"9:01",0,2015-06-26,"SYNH",231,50
"87",9,"RD-U67","PHH",38,2015-08-30,"9:16",5,2015-06-27,"EEME",231,64
"88",9,"DB-L43","PWE",56,2015-09-17,"9:35",0,2015-06-20,"GGNY",231,89
"89",9,"RD-V11","CNB",23,2015-08-15,"9:26",0,2015-06-24,"SNME",231,52
"90",9,"DB-W21","PHH",59,2015-09-20,"9:53",8,2015-06-30,"GGNY",231,82
"91",9,"DB-R77","CNB",9,2015-08-01,"9:45",0,2015-06-26,"GGNY",231,36
"92",9,"DB-W23","PHH",42,2015-09-03,"9:28",0,2015-06-30,"GGNY",231,65
"93",9,"DB-P71","PRPN",19,2015-08-11,"9:57",1,2015-06-26,"GGNY",231,46
"94",9,"DB-W35","CNB",27,2015-08-19,"9:08",0,2015-06-30,"GGNY",231,50
"95",9,"RD-W12","PHH",1,2015-07-24,"9:30",5,2015-06-18,"SNME",231,36
"96",9,"DB-L81","PWE",56,2015-09-17,"9:26",0,2015-06-20,"GGNY",231,89
"97",9,"DB-W44","PHH",31,2015-08-23,"9:25",0,2015-06-30,"GGNY",231,54
"98",9,"RD-S58","PRPN",19,2015-08-11,"9:57",2,2015-06-24,"SYNH",231,48
"99",9,"DB-X83","CNB",9,2015-08-01,"9:59",3,2015-06-25,"GGNY",231,37
"100",9,"DB-W45","PWE",25,2015-08-17,"9:01",1,2015-06-30,"GGNY",231,48
"101",9,"DB-X93","PRPN",16,2015-08-08,"9:56",0,2015-06-25,"GGNY",231,44
"102",9,"DB-X32","CNB",9,2015-08-01,"9:00",0,2015-06-24,"GGNY",231,38
"103",9,"RD-S60","PHH",38,2015-08-30,"9:46",0,2015-06-24,"SYNH",231,67
"104",9,"RD-S60","PHH",42,2015-09-03,"9:21",0,2015-06-24,"SYNH",231,71
"105",9,"DB-W95","CNB",48,2015-09-09,"9:52",0,2015-06-29,"GGNY",231,72
"106",9,"DB-F23","PHH",37,2015-08-29,"9:51",0,2015-06-25,"MYMA",231,65
"107",9,"DB-U19","PHH",38,2015-08-30,"9:00",0,2015-07-01,"GGNY",231,60
"108",9,"RD-V22","PRPN",19,2015-08-11,"9:41",0,2015-06-25,"SNME",231,47
